University (zh),University (eng),University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,Smile Cafe 清大圖書館,24.795562833505052,120.99508454140104,Café
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,吉米洋食屋,24.796558380219004,120.99855714258129,Italian Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,交大小木屋鬆餅,24.787567936103788,120.99751912648148,Snack Place
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,璽子牛肉麵,24.797632931777,120.98556812744023,Chinese Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,海瑞貢丸,24.791807927438494,121.00346497132819,Asian Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,NTHU night market (清大夜市 宵夜街),24.79680518998753,120.99818748332059,Night Market
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,十八尖山,24.79546588869216,120.98657624781518,Mountain
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,7-ELEVEn（高清門巿）,24.796047363080266,120.99821548784955,Convenience Store
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,Go eat Tapas,24.802025,120.993001,Tapas Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,7-ELEVEn（清大門市）,24.793305525903477,120.99327538875978,Convenience Store
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,MOS Burger (摩斯漢堡 MOS Burger),24.796900890822066,120.99679778861008,Fast Food Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,7-Eleven,24.788978760896136,120.99834430859931,Convenience Store
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,新竹NOVA,24.794429247771983,121.00086810561102,Electronics Store
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,清大小吃部,24.79320017584855,120.993193952007,College Cafeteria
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,國立交通大學女二餐廳 NCTU Dining Hall 3 at Female Dorm 2,24.78479169583518,120.99946091028438,College Cafeteria
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,喫茶趣,24.80492638747914,120.99345907280707,Bubble Tea Shop
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,大拇指小館,24.791804709026305,121.00348233429003,Asian Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,貳壹村,24.801580927471193,120.99623376953473,Noodle House
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,交大第二餐廳 (二餐) Dinning Hall 2,24.78941147226221,120.99732385354348,College Cafeteria
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,新竹晶宴會館,24.798736576962025,121.00590528636386,Chinese Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,愛買 a.mart,24.804892465795387,120.99326459180699,Shopping Mall
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,彭園會館,24.798004444028614,120.9949725203504,Chinese Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,花園街觀光夜市,24.79499415794796,120.99328994750977,Food Court
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,迎賓園,24.801410675048828,121.00115966796875,Chinese Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,Hotel Indigo Hsinchu,24.798875,121.005724,Hotel
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,NET (愛買),24.80488165237477,120.99306254549633,Clothing Store
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,香料屋 The Spice Shop,24.801292698420145,120.98828467595541,Indian Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,禧樂,24.795177,121.007034,Japanese Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,小餐桌 Le Petite Table 手工窯烤Pizza,24.79992561023218,120.98654824059591,Italian Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,十八尖山公園,24.793218597443385,120.98544475100756,Park
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,Family Mart,24.784812113305083,120.99945664203301,Convenience Store
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,麥當勞 McDonald's,24.784814546342343,120.9994759136668,Fast Food Restaurant
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,TRA Qianjia Station (臺鐵千甲車站),24.80672405221764,121.00314978472555,Train Station
國立清華大學,National Tsing Hua University,24.79635,120.99686000000001,漢堡王 Burger King,24.78421,120.997187,Fast Food Restaurant
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,藍家割包,25.015759193039358,121.53247539409628,Taiwanese Restaurant
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,靈感咖啡,25.018849484672135,121.53355994831264,Café
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,雲香亭,25.016798,121.532952,Chinese Restaurant
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,翠薪越南餐廳,25.01500746457681,121.53262053785386,Vietnamese Restaurant
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,河岸留言 (小河岸),25.017291294383448,121.53110634390065,Rock Club
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,Gongguan Night Market (公館夜市),25.014556402325034,121.53434364180671,Night Market
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,鳳城燒臘 (百合燒臘),25.018158,121.531624,Chinese Restaurant
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,Kafka by the Sea (海邊的卡夫卡 Kafka),25.017347463198366,121.53116060901698,Café
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,台灣ê店,25.0192163751453,121.5333512072779,Bookstore
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,STARBUCKS (Kong Kuan) (星巴克),25.015531211312275,121.53317553644422,Coffee Shop
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,Imperfect Café,25.0172843461966,121.53333163612295,Café
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,聞山咖啡,25.02040864814835,121.53368016124898,Café
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,得記港式麻辣鴨血,25.01452504769381,121.5336872854465,Hong Kong Restaurant
國立臺灣大學,NATIONAL TAIWAN UNIVERSITY,25.01697,121.53368999999999,誠品台大書店 Eslite Bookstore,25.016858139508972,121.53323140195825,Bookstore
