University (zh),University (eng),University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,國立臺灣大學醫學院體育館,25.040574273125866,121.52178146249587,College Gym
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,Feng Crossfit Taipei,25.037460012887518,121.52937073864547,Gym / Fitness Center
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,Sheraton Health Club (喜來登會館),25.04496743844449,121.52213319990489,Gym / Fitness Center
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,CrossFit Ba Ke Si,25.048226,121.528159,Gym
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,傳龍會 Dragon Fight Club,25.047901462315927,121.52907192707062,Boxing Gym
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,古亭跆拳道,25.03797507790693,121.53289959096477,Gym / Fitness Center
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,Kfree Dance Studio,25.03429189973237,121.52696344962462,Yoga Studio
國立臺北商業大學,National Taipei University of  Business,25.04194,121.52553,om yoga,25.045608370721364,121.51698765460397,Yoga Studio
國立臺灣戲曲學院,National Taiwan College of Performing Arts,25.08146,121.58658,水立方 Water Cube Smart Club,25.074224794154357,121.58995637950261,Gym / Fitness Center
國立臺南護理專科學校,National Tainan Junior College of Nursing,22.99531,120.20748999999999,World Gym Focus店,22.995770237713764,120.21055698394775,Gym
國立臺南護理專科學校,National Tainan Junior College of Nursing,22.99531,120.20748999999999,深呼吸健身房,22.993635457624258,120.21048337999447,Gym / Fitness Center
國立臺南護理專科學校,National Tainan Junior College of Nursing,22.99531,120.20748999999999,健身中心 Health Club,22.996567,120.214734,Hotel Pool
國立空中大學,National Open University,25.08687,121.46803999999999,新北市蘆洲國民運動中心,25.091027795625624,121.46243475474769,Gym
東海大學,Tunghai University,24.18233,120.60781999999999,東海大學健身房,24.18241571108789,120.60312576039993,Gym
東海大學,Tunghai University,24.18233,120.60781999999999,東海大學 體育館,24.18095748080853,120.60294033914732,College Gym
輔仁大學,Fu Jen Catholic University,25.03294,121.4341,Stone Bouldering Gym,25.038905847857226,121.43735677252643,Climbing Gym
中原大學,Chung Yuan Christian University,24.957279999999997,121.24035,中原大學體育館,24.960022247325593,121.24227868805552,College Gym
淡江大學學校財團法人淡江大學,Tamkang University,25.17383,121.4471,淡江大學紹謨紀念體育館,25.17471843228284,121.44751131534576,College Gym
淡江大學學校財團法人淡江大學,Tamkang University,25.17383,121.4471,淡江大學紹謨紀念游泳館,25.174313080225193,121.44743966809065,College Gym
淡江大學學校財團法人淡江大學,Tamkang University,25.17383,121.4471,淡江大學體育館,25.176454534134407,121.4486392899576,College Gym
中國文化大學,Chinese Culture University,25.137520000000002,121.54041000000001,文化大學體育館,25.134802743729086,121.53931638065727,College Gym
逢甲大學,Feng Chia University,24.17931,120.64998999999999,FCU Sports Center (逢甲大學體育館),24.18140763358725,120.64883221763654,College Gym
靜宜大學,PROVIDENCE UNIVERSITY,24.22575,120.57722,靜宜大學若望保祿二世體育館,24.228833804708177,120.58079459264137,College Gym
長庚大學,Chang Gung University,25.0334,121.38752,國立體院體育館,25.03184839,121.38501505,College Gym
元智大學,Yuan Ze University,24.9692,121.26293999999999,元智大學 體育館,24.965741,121.267689,College Gym
世新大學,Shih Hsin University,24.98862,121.54409,世新大學體適能中心 SHU Gym,24.989646394428394,121.54745578765869,College Gym
世新大學,Shih Hsin University,24.98862,121.54409,Anytime Fitness 大坪林店,24.980599,121.542104,Gym / Fitness Center
銘傳大學,Ming Chuan University,25.08719,121.52701,Red Rock 紅石攀岩,25.089524342154146,121.52056388372286,Climbing Gym
