Serial Number,ID,Public/Private,System,Name,Eng. Name,Postal Code,Latitude,Longitude,Address,City,County,Neighborhood,County (zh)
26,0030,Public,一般大學,國立臺東大學,National Taitung University,95092,22.73826,121.06894,"No. 369, Sec 2, Da Xue Rd., Taitung City, Taitung County 950, Taiwan",Taitung City,Taitung County,,臺東縣
27,0031,Public,一般大學,國立宜蘭大學,National Ilan University,26047,24.7453,121.74808,"No. 1, Sec 1, Shen Nong Rd., Jin Shi Vil., Yilan City, Yilan County 260, Taiwan",Yilan City,Yilan County,Jin Shi Vil.,宜蘭縣
28,0032,Public,一般大學,國立聯合大學,National United University,36063,24.53903,120.79109,"No. 2, 聯大, Nan Shi Vil., Miaoli City, Miaoli County 360, Taiwan",Miaoli City,Miaoli County,Nan Shi Vil.,苗栗縣
29,0033,Public,技專校院,國立虎尾科技大學,National Formosa University,63201,23.70311,120.43015,"No. 64, Wen Hua Rd., An Qing Vil., Huwei Township, Yunlin County 632, Taiwan",Huwei Township,Yunlin County,An Qing Vil.,雲林縣
30,0035,Public,一般大學,國立臺南藝術大學,Tainan National University of the Arts,72045,23.186,120.37452,"No. 66, Da Qi Vil. Da Qi, Guantian District, Tainan City, 720, Taiwan",Tainan City,Tainan City,Guantian District,臺南市
31,0036,Public,一般大學,國立臺南大學,National University of Tainan,70005,22.98507,120.20799,"No. 33, Sec 2, Shu Lin St., West Central District, Tainan City, 700, Taiwan",Tainan City,Tainan City,West Central District,臺南市
32,0037,Public,一般大學,國立臺北教育大學,National Taipei University of Education,10671,25.0246,121.5447,"No. 134, Sec 2, He Ping E. Rd., Daan District, Taipei City, 106, Taiwan",Taipei City,Taipei City,Daan District,臺北市
33,0039,Public,一般大學,國立臺中教育大學,National Taichung University of Education,40306,24.1434,120.67179,"No. 140, Min Sheng Rd., West District, Taichung City, 403, Taiwan",Taichung City,Taichung City,West District,臺中市
34,0042,Public,技專校院,國立澎湖科技大學,National Penghu University of Science and Technology,88046,23.57392,119.58169,"No. 300, Liu He Rd., Chao Yang Vil., Magong City, Penghu County 880, Taiwan",Magong City,Penghu County,Chao Yang Vil.,澎湖縣
35,0043,Public,技專校院,國立勤益科技大學,National Chin-Yi University of Technology,41170,24.14636,120.73336,"No. 57, Sec 2, Zhong Shan Rd., Taiping District, Taichung City, 411, Taiwan",Taichung City,Taichung City,Taiping District,臺中市
36,0044,Public,一般大學,國立體育大學,National Taiwan Sport University,33301,25.0357,121.38526,"No. 250, Wen Hua 1st Rd., Guishan District, Taoyuan City, 333, Taiwan",Taoyuan City,Taoyuan City,Guishan District,桃園市
37,0046,Public,技專校院,國立臺北護理健康大學,National Taipei University of Nursing and Health Sciences,11219,25.11755,121.52134,"No. 365, Ming De Rd., Beitou District, Taipei City, 112, Taiwan",Taipei City,Taipei City,Beitou District,臺北市
38,0047,Public,技專校院,國立高雄餐旅大學,National Kaohsiung University of Hospitality and Tourism,81271,22.56571,120.37144,"No. 1, Song He Rd., Siaogang District, Kaohsiung City, 812, Taiwan",Kaohsiung City,Kaohsiung City,Siaogang District,高雄市
39,0048,Public,一般大學,國立金門大學,National Quemoy University,89250,24.44835,118.32454,"No. 1, Da Xue Rd., Quemoy Island, Kinmen County 892, Taiwan",Quemoy Island,Kinmen County,,金門縣
40,0049,Public,一般大學,國立臺灣體育運動大學,National Taiwan University of Sport,40404,24.14851,120.68722,"No. 16, Sec 1, Shuang Shi Rd., North District, Taichung City, 404, Taiwan",Taichung City,Taichung City,North District,臺中市
41,0050,Public,技專校院,國立臺中科技大學,National  Taichung University Of  Science And Technology,40401,24.15039,120.68301,"No. 129, Sec 3, San Min Rd., North District, Taichung City, 404, Taiwan",Taichung City,Taichung City,North District,臺中市
42,0051,Public,技專校院,國立臺北商業大學,National Taipei University of  Business,10051,25.04194,121.52553,"No. 321, Sec 1, Ji Nan Rd., Zhongzheng District, Taipei City, 100, Taiwan",Taipei City,Taipei City,Zhongzheng District,臺北市
43,0052,Public,一般大學,國立屏東大學,National Pingtung University,90003,22.66539,120.50447,"No. 4-18, Min Sheng Rd., Rui Guang Vil., Pingtung City, Pingtung County 900, Taiwan",Pingtung City,Pingtung County,Rui Guang Vil.,屏東縣
44,0053,Public,技專校院,國立高雄科技大學,National Kaohsiung University of Science and Technology,80778,22.65156,120.32828,"No. 415, Jian Gong Rd., Sanmin District, Kaohsiung City, 807, Taiwan",Kaohsiung City,Kaohsiung City,Sanmin District,高雄市
45,0144,Public,技專校院,國立臺灣戲曲學院,National Taiwan College of Performing Arts,11464,25.08146,121.58658,"No. 177, Sec 2, Nei Hu Rd., Neihu District, Taipei City, 114, Taiwan",Taipei City,Taipei City,Neihu District,臺北市
46,0221,Public,技專校院,國立臺南護理專科學校,National Tainan Junior College of Nursing,70043,22.99531,120.20749,"No. 78, Sec 2, Min Zu Rd., West Central District, Tainan City, 700, Taiwan",Tainan City,Tainan City,West Central District,臺南市
47,0222,Public,技專校院,國立臺東專科學校,National Taitung Junior College,95045,22.75901,121.1218,"No. 911, Zheng Qi N. Rd., Taitung City, Taitung County 950, Taiwan",Taitung City,Taitung County,,臺東縣
48,0A01,Public,空中大學,國立空中大學,National Open University,24701,25.08687,121.46804,"No. 172, Jhong Jheng Rd., Luzhou District, New Taipei City, 247, Taiwan",New Taipei City,New Taipei City,Luzhou District,新北市
49,1001,Private,一般大學,東海大學,Tunghai University,40704,24.18233,120.60782,"No. 1727, Sec 4, Taiwan Blvd., Xitun District, Taichung City, 407, Taiwan",Taichung City,Taichung City,Xitun District,臺中市
50,1002,Private,一般大學,輔仁大學,Fu Jen Catholic University,24205,25.03294,121.4341,"No. 510, Jhong Jheng Rd., Xinzhuang District, New Taipei City, 242, Taiwan",New Taipei City,New Taipei City,Xinzhuang District,新北市
51,1003,Private,一般大學,東吳大學,Soochow University,11102,25.09444,121.54575,"No. 70, Lin Xi Rd., Shilin District, Taipei City, 111, Taiwan",Taipei City,Taipei City,Shilin District,臺北市
52,1004,Private,一般大學,中原大學,Chung Yuan Christian University,32023,24.95728,121.24035,"No. 200, Zhong Bei Rd., Zhongli District, Taoyuan City, 320, Taiwan",Taoyuan City,Taoyuan City,Zhongli District,桃園市
53,1005,Private,一般大學,淡江大學學校財團法人淡江大學,Tamkang University,25137,25.17383,121.4471,"No. 151, Ying Zhuan Rd., Tamsui District, New Taipei City, 251, Taiwan",New Taipei City,New Taipei City,Tamsui District,新北市
54,1006,Private,一般大學,中國文化大學,Chinese Culture University,11114,25.13752,121.54041,"No. 55, Hua Gang Rd., Shilin District, Taipei City, 111, Taiwan",Taipei City,Taipei City,Shilin District,臺北市
55,1007,Private,一般大學,逢甲大學,Feng Chia University,40724,24.17931,120.64999,"No. 100, Wen Hua Rd., Xitun District, Taichung City, 407, Taiwan",Taichung City,Taichung City,Xitun District,臺中市
56,1008,Private,一般大學,靜宜大學,PROVIDENCE UNIVERSITY,43301,24.22575,120.57722,"No. 200, Sec 7, Taiwan Blvd., Shalu District, Taichung City, 433, Taiwan",Taichung City,Taichung City,Shalu District,臺中市
57,1009,Private,一般大學,長庚大學,Chang Gung University,33302,25.0334,121.38752,"No. 259, Wen Hua 1st Rd., Guishan District, Taoyuan City, 333, Taiwan",Taoyuan City,Taoyuan City,Guishan District,桃園市
58,1010,Private,一般大學,元智大學,Yuan Ze University,32003,24.9692,121.26294,"No. 135, Yuan Dong Rd., Zhongli District, Taoyuan City, 320, Taiwan",Taoyuan City,Taoyuan City,Zhongli District,桃園市
59,1011,Private,一般大學,中華大學學校財團法人中華大學,Chung Hua University,30012,24.75724,120.9524,"No. 707, Sec 2, Wu Fu Rd., Siangshan District, Hsinchu City, 300, Taiwan",Hsinchu City,Hsinchu City,Siangshan District,新竹市
60,1012,Private,一般大學,大葉大學,Da-Yeh University,51591,23.99991,120.59591,"No. 168, University Rd., Fu Xing Vil., Dacun Township, Changhua County 515, Taiwan",Dacun Township,Changhua County,Fu Xing Vil.,彰化縣
61,1013,Private,一般大學,華梵大學,Huafan University,22301,24.97826,121.69191,"No. 1, Hua Fan Rd., Shiding District, New Taipei City, 223, Taiwan",New Taipei City,New Taipei City,Shiding District,新北市
62,1014,Private,一般大學,義守大學,I-Shou University,84001,22.7297,120.40796,"No. 1, Sec 1, Syue Cheng Rd., Dashu District, Kaohsiung City, 840, Taiwan",Kaohsiung City,Kaohsiung City,Dashu District,高雄市
63,1015,Private,一般大學,世新大學,Shih Hsin University,11604,24.98862,121.54409,"No. 1, Lane 17, Sec 1, Mu Zha Rd., Wenshan District, Taipei City, 116, Taiwan",Taipei City,Taipei City,Wenshan District,臺北市
64,1016,Private,一般大學,銘傳大學,Ming Chuan University,11103,25.08719,121.52701,"No. 250, Sec 5, Zhong Shan N. Rd., Shilin District, Taipei City, 111, Taiwan",Taipei City,Taipei City,Shilin District,臺北市
65,1017,Private,一般大學,實踐大學,Shih Chien University,10462,25.08358,121.54623,"No. 70, Da Zhi St., Zhongshan District, Taipei City, 104, Taiwan",Taipei City,Taipei City,Zhongshan District,臺北市
66,1018,Private,技專校院,朝陽科技大學,Chaoyang University of Technology,41349,24.06915,120.716,"No. 168, Ji Feng E. Rd., Wufeng District, Taichung City, 413, Taiwan",Taichung City,Taichung City,Wufeng District,臺中市
67,1019,Private,一般大學,高雄醫學大學,Kaohsiung Medical University,80708,22.64516,120.30993,"No. 100, Shih Cyuan 1st Rd., Sanmin District, Kaohsiung City, 807, Taiwan",Kaohsiung City,Kaohsiung City,Sanmin District,高雄市
68,1020,Private,一般大學,南華大學,Nanhua university,62248,23.56985,120.49423,"No. 55, Sec 1, Nan Hua Rd., Zhong Keng Vil., Dalin Township, Chiayi County 622, Taiwan",Dalin Township,Chiayi County,Zhong Keng Vil.,嘉義縣
69,1021,Private,一般大學,真理大學,Aletheia University,25103,25.17556,121.4346,"No. 32, Zhen Li St., Tamsui District, New Taipei City, 251, Taiwan",New Taipei City,New Taipei City,Tamsui District,新北市
70,1022,Private,一般大學,大同大學,Tatung University,10452,25.06683,121.5222,"No. 40, Sec 3, Zhong Shan N. Rd., Zhongshan District, Taipei City, 104, Taiwan",Taipei City,Taipei City,Zhongshan District,臺北市
71,1023,Private,技專校院,南臺學校財團法人南臺科技大學,Southern Taiwan University of Science and Technology,71005,23.02227,120.22501,"No. 1, Nan Tai St., Yongkang District, Tainan City, 710, Taiwan",Tainan City,Tainan City,Yongkang District,臺南市
